['A1BG', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC091801.1', '1', '0', '0', '1', '21', '0', '21', '0.183124451583018', '1\n']
['AC092675.3', '0', '0', '0', '0', '161', '0', '161', '1', '1\n']
['AC096582.1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC096644.1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC102948.2', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['AC103809.2', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['AC104472.1', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['AC104534.3', '0', '0', '0', '0', '67', '0', '67', '1', '1\n']
['AC104809.3', '2', '0', '0', '2', '35', '0', '35', '0.0451221355231074', '1\n']
['AC109829.1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AC110615.1', '1', '0', '0', '1', '94', '0', '94', '0.582598454856285', '1\n']
['AC114494.1', '2', '0', '0', '2', '186', '0', '186', '0.51426041472779', '1\n']
['AC135048.1', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['AC135983.2', '2', '0', '0', '2', '0', '0', '0', '8.36643763246494e-05', '1\n']
['AC136604.1', '1', '0', '0', '1', '2', '0', '2', '0.0272029670944346', '1\n']
['AC140061.12', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ACAA1', '0', '0', '0', '0', '24', '0', '24', '1', '1\n']
['ACAA2', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ACACA', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ACACB', '3', '0', '0', '3', '60', '0', '60', '0.0202129978562524', '1\n']
['ACAD10', '3', '0', '0', '3', '258', '0', '258', '0.4278433219787', '1\n']
['ACAD11', '3', '0', '0', '3', '221', '0', '221', '0.336881467897496', '1\n']
['ACAD8', '1', '0', '0', '1', '8', '0', '8', '0.0794109924955475', '1\n']
['ACAD9', '0', '0', '0', '0', '3', '0', '3', '1', '1\n']
['ACADL', '2', '0', '0', '2', '72', '0', '72', '0.147360663535693', '1\n', 'ICGC_MB167']
['ACADM', '3', '0', '0', '3', '70', '0', '70', '0.0296192313867445', '1\n']
['ACADSB', '2', '0', '0', '2', '63', '0', '63', '0.119544156097931', '1\n']
['ACAN', '1', '0', '0', '1', '2', '0', '2', '0.0272029670944346', '1\n']
['ACAP2', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['ACBD4', '2', '0', '0', '2', '5', '0', '5', '0.00170418490988962', '1\n']
['ACBD5', '1', '0', '0', '1', '19', '0', '19', '0.167963437741586', '1\n']
['ACBD6', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ACBD7', '2', '0', '0', '2', '259', '0', '259', '0.690768513809572', '1\n']
['ACCS', '1', '0', '0', '1', '6', '0', '6', '0.0623270096964126', '1\n']
['ACCSL', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ACD', '0', '0', '0', '0', '2', '0', '2', '1', '1\n']
['ACE', '1', '0', '0', '1', '10', '0', '10', '0.0961839986291075', '1\n']
['ACER1', '2', '0', '0', '2', '13', '0', '13', '0.00811714676948839', '1\n']
['ACKR2', '4', '0', '0', '4', '272', '0', '272', '0.247335492827844', '1\n']
['ACKR4', '1', '0', '0', '1', '22', '0', '22', '0.190601141178101', '1\n']
['ACO1', '2', '0', '0', '2', '6', '0', '6', '0.00225846259906012', '1\n']
['ACOT1', '1', '0', '0', '1', '141', '0', '141', '0.729159610092266', '1\n']
['ACOT11', '1', '0', '0', '1', '12', '0', '12', '0.112651683545657', '1\n', 'ICGC_MB282']
['ACOT12', '3', '0', '0', '3', '50', '0', '50', '0.0127489585986425', '1\n']
['ACOT13', '1', '0', '0', '1', '287', '0', '287', '0.929413229565474', '1\n']
['ACOT4', '2', '0', '0', '2', '11463', '0', '11463', '1', '1\n']
['ACOT6', '1', '0', '0', '1', '23', '0', '23', '0.198009461640459', '1\n']
['ACOT7', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ACOT8', '2', '0', '0', '2', '306', '0', '306', '0.773865075471463', '1\n']
['ACOX1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ACOX2', '1', '0', '0', '1', '4', '0', '4', '0.0449262901275587', '1\n']
['ACOX3', '3', '0', '0', '3', '106', '0', '106', '0.0789009347946835', '1\n']
['ACOXL', '2', '0', '0', '2', '201', '0', '201', '0.555457946620665', '1\n']
['ACP2', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['ACP5', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ACP6', '1', '0', '0', '1', '105', '0', '105', '0.622776999352046', '1\n']
['ACPL2', '0', '0', '0', '0', '5', '0', '5', '1', '1\n', '165133']
['ACPP', '0', '0', '0', '0', '287', '0', '287', '1', '1\n']
['ACPT', '1', '0', '0', '1', '18', '0', '18', '0.160277835299206', '1\n']
['ACR', '2', '0', '0', '2', '417', '0', '417', '0.896995038533157', '1\n']
['ACRV1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ACSBG1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ACSBG2', '2', '0', '0', '2', '175', '0', '175', '0.482484110753907', '1\n']
['ACSF2', '2', '0', '0', '2', '42', '0', '42', '0.0614875847865679', '1\n']
['ACSF3', '0', '0', '0', '0', '14', '0', '14', '1', '1\n']
['ACSL1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ACSL5', '1', '0', '0', '1', '9', '0', '9', '0.0878360117495567', '1\n']
['ACSM1', '1', '0', '0', '1', '22', '0', '22', '0.190601141178101', '1\n']
['ACSM2A', '3', '0', '0', '3', '118', '0', '118', '0.100124553410102', '1\n']
['ACSM2B', '2', '0', '0', '2', '126', '0', '126', '0.327305744817305', '1\n']
['ACSM3', '1', '0', '0', '1', '53', '0', '53', '0.391370530903366', '1\n']
['ACSM4', '0', '0', '0', '0', '169', '0', '169', '1', '1\n']
['ACSM5', '3', '0', '0', '3', '19', '0', '19', '0.00103345358152385', '1\n']
['ACSS1', '3', '0', '0', '3', '5', '0', '5', '4.13518423781063e-05', '1\n']
['ACSS2', '1', '0', '0', '1', '17', '0', '17', '0.152521307224677', '1\n']
['ACSS3', '0', '0', '0', '0', '2', '0', '2', '1', '1\n']
['ACTBL2', '2', '0', '0', '2', '9', '0', '9', '0.00435614295404578', '1\n']
['ACTL10', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ACTL7A', '3', '0', '0', '3', '25', '0', '25', '0.00211055171736174', '1\n']
['ACTL7B', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ACTR3C', '2', '0', '0', '2', '12289', '0', '12289', '1', '1\n']
['ACTR5', '0', '0', '0', '0', '3', '0', '3', '1', '1\n']
['ACTR6', '2', '0', '0', '2', '9', '0', '9', '0.00435614295404578', '1\n']
['ACTR8', '0', '0', '0', '0', '5', '0', '5', '1', '1\n']
['ACTRT2', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ACVR1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ACY1', '1', '0', '0', '1', '8', '0', '8', '0.0794109924955475', '1\n']
['ADA', '1', '0', '0', '1', '4', '0', '4', '0.0449262901275587', '1\n', '196865']
['ADAD1', '1', '0', '0', '1', '3', '0', '3', '0.036105324929763', '1\n']
['ADAD2', '1', '0', '0', '1', '14', '0', '14', '0.128819599937921', '1\n']
['ADAL', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ADAM11', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ADAM12', '1', '0', '0', '1', '11', '0', '11', '0.104455656809899', '1\n']
['ADAM15', '4', '0', '0', '4', '18', '0', '18', '4.47305486198648e-05', '1\n']
['ADAM18', '6', '0', '0', '6', '624', '0', '624', '0.516831168806759', '1\n']
['ADAM19', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ADAM2', '4', '0', '0', '4', '453', '0', '453', '0.602703328240705', '1\n']
['ADAM20', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['ADAM22', '0', '0', '0', '0', '4', '0', '4', '1', '1\n']
['ADAM23', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ADAM28', '1', '0', '0', '1', '70', '0', '70', '0.47947287874631', '1\n']
['ADAM29', '4', '0', '0', '4', '101', '0', '101', '0.0161027908626956', '1\n']
['ADAM30', '2', '0', '0', '2', '14', '0', '14', '0.00922081126139681', '1\n']
['ADAM32', '0', '0', '0', '0', '72', '0', '72', '1', '1\n']
['ADAM33', '4', '0', '0', '4', '141', '0', '141', '0.0449259730998132', '1\n', 'ICGC_MB299']
['ADAM7', '0', '0', '0', '0', '177', '0', '177', '1', '1\n']
['ADAM8', '1', '0', '0', '1', '50', '0', '50', '0.374343450868727', '1\n']
['ADAMDEC1', '2', '0', '0', '2', '34', '0', '34', '0.0429376782047896', '1\n']
['ADAMTS1', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['ADAMTS12', '3', '0', '0', '3', '70', '0', '70', '0.0296192313867445', '1\n']
['ADAMTS13', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ADAMTS14', '1', '0', '0', '1', '11', '0', '11', '0.104455656809899', '1\n']
['ADAMTS17', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ADAMTS18', '4', '0', '0', '4', '2', '0', '2', '1.03086656708532e-07', '1\n']
